,site,cluster_label
0,murphyfinnedtubes.com,0
5,www.twmetals.com,0
1,nexco-sa.com.ar,5
2,www.lomanegra.com.ar,5
3,www.techint.com,5
4,www.tpsconstructora.com.ar,5
6,www.ypf.com,5
